full_name,age,league,season,position,Current_Club,minutes_played_overall,nationality,appearances_overall,goals_overall,assists_overall
Bruno Écuélé Manga,32,Premier League,2018/2019,Defender,Cardiff City,3375,Gabon,38,0,1
Bruno Saltor Grau,40,Premier League,2018/2019,Defender,Brighton & Hove Albion,1136,Spain,14,0,1
Caglar Söyüncü,24,Premier League,2018/2019,Defender,Leicester City,371,Turkey,6,0,0
Callum Hudson-Odoi,20,Premier League,2018/2019,Midfielder,Chelsea,391,England,10,0,1
Callum Paterson,26,Premier League,2018/2019,Defender,Cardiff City,1996,Scotland,27,4,1
Callum Roberts,23,Premier League,2018/2019,Forward,Newcastle United,0,England,0,0,0
Callum Slattery,22,Premier League,2018/2019,Midfielder,Southampton,110,England,3,0,0
Callum Wilson,29,Premier League,2018/2019,Forward,AFC Bournemouth,2535,England,30,14,9
Calum Chambers,26,Premier League,2018/2019,Defender,Fulham,2587,England,31,2,0
Cameron John,21,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,England,0,0,0
Carl Jenkinson,29,Premier League,2018/2019,Defender,Arsenal,166,England,3,0,0
Carlos Sánchez,35,Premier League,2018/2019,Midfielder,West Ham United,240,Colombia,7,0,0
Cedric Soares,29,Premier League,2018/2019,Defender,Southampton,1494,Portugal,18,1,2
Cenk Tosun,29,Premier League,2018/2019,Forward,Everton,1050,Turkey,25,3,3
Cesar Azpilicueta,31,Premier League,2018/2019,Defender,Chelsea,3403,Spain,38,1,5
Cesc Fabregas,33,Premier League,2018/2019,Midfielder,Chelsea,175,Spain,6,0,0
Charlie Austin,31,Premier League,2018/2019,Forward,Southampton,980,England,25,2,2
Charlie Daniels,34,Premier League,2018/2019,Defender,AFC Bournemouth,1583,England,21,1,0
Charlie Taylor,27,Premier League,2018/2019,Defender,Burnley,3240,England,38,0,1
Cheikhou Kouyaté,31,Premier League,2018/2019,Midfielder,Crystal Palace,1897,Senegal,31,0,2
Chris Löwe,31,Premier League,2018/2019,Defender,Huddersfield Town,2056,Germany,29,0,2
Chris Mepham,23,Premier League,2018/2019,Defender,AFC Bournemouth,849,Wales,13,0,1
Chris Smalling,31,Premier League,2018/2019,Defender,Manchester United,2128,England,24,1,0
Chris Wood,29,Premier League,2018/2019,Forward,Burnley,2582,New Zealand,38,10,2
Christian Atsu Twasam,29,Premier League,2018/2019,Midfielder,Newcastle United,1487,Ghana,28,1,0
Christian Benteke,30,Premier League,2018/2019,Forward,Crystal Palace,813,Belgium,16,1,1
Christian Eriksen,29,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2772,Denmark,35,8,12
Christian Fuchs,34,Premier League,2018/2019,Defender,Leicester City,206,Austria,3,0,0
Christian Kabasele,30,Premier League,2018/2019,Defender,Watford,1587,Belgium,21,0,0
Christopher Schindler,30,Premier League,2018/2019,Defender,Huddersfield Town,3262,Germany,37,1,0
Ciaran Clark,31,Premier League,2018/2019,Defender,Newcastle United,857,Republic of Ireland,11,3,0
Claudio Andrés Bravo Muñoz,37,Premier League,2018/2019,Goalkeeper,Manchester City,0,Chile,0,0,0
Collin Quaner,29,Premier League,2018/2019,Forward,Huddersfield Town,37,Germany,2,0,0
Connor Wickham,28,Premier League,2018/2019,Forward,Crystal Palace,61,England,6,0,1
Conor Coady,28,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3420,England,38,0,0
Conor Coventry,21,Premier League,2018/2019,Midfielder,West Ham United,0,Republic of Ireland,0,0,0
Craig Cathcart,32,Premier League,2018/2019,Defender,Watford,3099,Northern Ireland,36,3,0
Curtis Jones,20,Premier League,2018/2019,Midfielder,Liverpool,0,England,0,0,0
Cyrus Christie,28,Premier League,2018/2019,Defender,Fulham,1943,Republic of Ireland,28,0,1
Dale Stephens,31,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2487,England,30,1,1
Damián Emiliano Martínez,28,Premier League,2018/2019,Goalkeeper,Arsenal,0,Argentina,0,0,0
Dan Burn,28,Premier League,2018/2019,Defender,Brighton & Hove Albion,0,England,0,0,0
Dan Gosling,31,Premier League,2018/2019,Midfielder,AFC Bournemouth,1737,England,25,2,1
Daniel Amartey,26,Premier League,2018/2019,Midfielder,Leicester City,640,Ghana,9,0,0
Daniel Sturridge,31,Premier League,2018/2019,Forward,Liverpool,496,England,18,2,1
Daniel William John Ings,28,Premier League,2018/2019,Forward,Southampton,1668,England,24,7,3
Daniel Williams,32,Premier League,2018/2019,Midfielder,Huddersfield Town,93,USA,5,0,0
Danilo,29,Premier League,2018/2019,Defender,Manchester City,806,Brazil,11,1,0
Danny Drinkwater,31,Premier League,2018/2019,Midfielder,Chelsea,0,England,0,0,0
Danny Rose,30,Premier League,2018/2019,Defender,Tottenham Hotspur,1806,England,26,0,3
Danny Simpson,34,Premier League,2018/2019,Defender,Leicester City,291,England,6,0,0
Danny Ward,27,Premier League,2018/2019,Goalkeeper,Leicester City,0,Wales,0,0,0
Danny Ward,30,Premier League,2018/2019,Forward,Cardiff City,440,England,14,1,0
Danny Welbeck,30,Premier League,2018/2019,Forward,Arsenal,147,England,8,1,1
Daryl Janmaat,31,Premier League,2018/2019,Defender,Watford,1521,Netherlands,18,0,2
David Brooks,23,Premier League,2018/2019,Forward,AFC Bournemouth,2278,England,30,7,5
David Button,32,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,360,England,4,0,0
David de Gea,30,Premier League,2018/2019,Goalkeeper,Manchester United,3420,Spain,38,0,0
David Junior Hoilett,30,Premier League,2018/2019,Forward,Cardiff City,2142,Canada,32,3,1
David Luiz,33,Premier League,2018/2019,Defender,Chelsea,3239,Brazil,36,3,2
David Silva,35,Premier League,2018/2019,Midfielder,Manchester City,2411,Spain,33,6,8
Davide Zappacosta,28,Premier League,2018/2019,Defender,Chelsea,125,Italy,4,0,0
Davinson Sánchez Mina,24,Premier League,2018/2019,Defender,Tottenham Hotspur,1943,Colombia,23,1,1
Davy Pröpper,29,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2551,Netherlands,30,1,1
DeAndre Yedlin,27,Premier League,2018/2019,Defender,Newcastle United,2475,USA,29,1,2
Declan Rice,22,Premier League,2018/2019,Midfielder,West Ham United,3005,Republic of Ireland,34,2,0
Dejan Lovren,31,Premier League,2018/2019,Defender,Liverpool,985,Croatia,13,1,0
Dele Alli,24,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1827,England,25,5,3
Demarai Gray,24,Premier League,2018/2019,Midfielder,Leicester City,1992,England,34,4,1
Demeaco Duhaney,22,Premier League,2018/2019,Defender,Huddersfield Town,46,England,1,0,0
Denis Odoi,32,Premier League,2018/2019,Defender,Fulham,2593,Belgium,31,0,1
Denis Suárez,27,Premier League,2018/2019,Midfielder,Arsenal,67,Spain,4,0,0
Diego Rico,28,Premier League,2018/2019,Defender,AFC Bournemouth,607,Spain,12,0,0
Diogo José Teixeira da Silva,24,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,2371,Portugal,33,9,5
Divock Origi,25,Premier League,2018/2019,Forward,Liverpool,366,Belgium,12,3,1
Domingos Quina,21,Premier League,2018/2019,Midfielder,Watford,335,Portugal,8,1,0
Dominic Calvert-Lewin,24,Premier League,2018/2019,Forward,Everton,1774,England,35,6,2
Dominic Solanke,23,Premier League,2018/2019,Forward,AFC Bournemouth,341,England,10,0,1
Dwight McNeil,21,Premier League,2018/2019,Forward,Burnley,1599,England,21,3,5
Eden Hazard,30,Premier League,2018/2019,Midfielder,Chelsea,2926,Belgium,37,16,15
Ederson,27,Premier League,2018/2019,Goalkeeper,Manchester City,3420,Brazil,38,0,1
Edward Nketiah,21,Premier League,2018/2019,Forward,Arsenal,62,England,5,1,0
Elias Kachunga,28,Premier League,2018/2019,Forward,Huddersfield Town,1181,Congo DR,20,0,0
Emerson Hyndman,25,Premier League,2018/2019,Midfielder,AFC Bournemouth,37,USA,1,0,0
Emerson Palmieri dos Santos,26,Premier League,2018/2019,Defender,Chelsea,660,Italy,10,0,0
Emile Smith Rowe,20,Premier League,2018/2019,Midfielder,Arsenal,0,England,0,0,0
Eric Bertrand Bailly,26,Premier League,2018/2019,Defender,Manchester United,637,Côte d'Ivoire,12,0,0
Eric Dier,27,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1510,England,20,3,0
Erik Durm,28,Premier League,2018/2019,Defender,Huddersfield Town,2052,Germany,28,0,1
Erik Lamela,29,Premier League,2018/2019,Midfielder,Tottenham Hotspur,971,Argentina,19,4,2
Ethan Ampadu,20,Premier League,2018/2019,Midfielder,Chelsea,0,Wales,0,0,0
Etienne Capoue,32,Premier League,2018/2019,Midfielder,Watford,2947,France,33,1,3
Fabián Cornelio Balbuena González,29,Premier League,2018/2019,Defender,West Ham United,2014,Paraguay,23,1,0
Fabian Delph,31,Premier League,2018/2019,Midfielder,Manchester City,725,England,11,0,1
Fabian Schär,29,Premier League,2018/2019,Defender,Newcastle United,2002,Switzerland,24,4,1
Fabinho,27,Premier League,2018/2019,Midfielder,Liverpool,2013,Brazil,28,1,2
Fabricio Martín Agosto Ramírez,33,Premier League,2018/2019,Goalkeeper,Fulham,180,Spain,2,0,0
Faustino Marcos Alberto Rojo,31,Premier League,2018/2019,Defender,Manchester United,211,Argentina,5,0,0
Federico Fernández,32,Premier League,2018/2019,Defender,Newcastle United,1484,Argentina,19,0,1
Felipe Anderson Pereira Gomes,27,Premier League,2018/2019,Midfielder,West Ham United,3054,Brazil,36,9,4
Fernando Llorente Torres,36,Premier League,2018/2019,Forward,Tottenham Hotspur,683,Spain,20,1,4
Fernando Luiz Rosa,35,Premier League,2018/2019,Midfielder,Manchester City,2381,Brazil,29,1,3
Florent Hadergjonaj,26,Premier League,2018/2019,Defender,Huddersfield Town,1840,Switzerland,24,0,0
Florian Lejeune,29,Premier League,2018/2019,Defender,Newcastle United,1055,France,12,0,0
Florin Andone,27,Premier League,2018/2019,Forward,Brighton & Hove Albion,874,Romania,23,3,0
Floyd Ayité,32,Premier League,2018/2019,Midfielder,Fulham,465,Togo,16,1,0
Fousseni Diabaté,25,Premier League,2018/2019,Midfielder,Leicester City,55,Mali,1,0,0
Francisco Femenía Far,30,Premier League,2018/2019,Midfielder,Watford,2045,Spain,29,1,1
Fraser Forster,33,Premier League,2018/2019,Goalkeeper,Southampton,90,England,1,0,0
Freddie Woodman,24,Premier League,2018/2019,Goalkeeper,Newcastle United,0,England,0,0,0
Frederico Rodrigues Santos,28,Premier League,2018/2019,Midfielder,Manchester United,1045,Brazil,17,1,1
Gabriel Jesus,24,Premier League,2018/2019,Forward,Manchester City,1019,Brazil,29,7,3
Gaëtan Bong Songo,32,Premier League,2018/2019,Defender,Brighton & Hove Albion,1805,Cameroon,22,0,0
Gary Cahill,35,Premier League,2018/2019,Defender,Chelsea,22,England,2,0,0
Gary Madine,30,Premier League,2018/2019,Forward,Cardiff City,32,England,5,0,0
George Marsh,22,Premier League,2018/2019,Midfielder,Tottenham Hotspur,0,England,0,0,0
Georges-Kevin N'Koudou Mbida,26,Premier League,2018/2019,Forward,Tottenham Hotspur,4,France,1,0,1
Georginio Wijnaldum,30,Premier League,2018/2019,Midfielder,Liverpool,2735,Netherlands,35,3,0
Gerard Deulofeu,27,Premier League,2018/2019,Forward,Watford,2082,Spain,30,10,5
Glenn Murray,37,Premier League,2018/2019,Forward,Brighton & Hove Albion,2513,England,38,13,1
Gonzalo Higuain,33,Premier League,2018/2019,Forward,Chelsea,1092,Argentina,14,5,0
Grady Diangana,22,Premier League,2018/2019,Midfielder,West Ham United,604,England,17,0,1
Granit Xhaka,28,Premier League,2018/2019,Midfielder,Arsenal,2502,Switzerland,29,4,2
Greg Cunningham,30,Premier League,2018/2019,Defender,Cardiff City,630,Republic of Ireland,7,0,0
Gylfi Sigurdsson,31,Premier League,2018/2019,Midfielder,Everton,3134,Iceland,38,13,6
Hamza Choudhury,23,Premier League,2018/2019,Midfielder,Leicester City,596,England,9,0,0
Harry Arter,31,Premier League,2018/2019,Midfielder,Cardiff City,2008,Republic of Ireland,25,0,1
Harry Kane,27,Premier League,2018/2019,Forward,Tottenham Hotspur,2427,England,28,17,4
Harry Maguire,28,Premier League,2018/2019,Defender,Leicester City,2599,England,31,3,0
Harry Winks,25,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1591,England,26,1,0
Harvey Elliot,0,Premier League,2018/2019,Forward,Fulham,18,England,2,0,0
Harvey Lewis Barnes,23,Premier League,2018/2019,Midfielder,Leicester City,1007,England,16,1,2
Håvard Nordtveit,30,Premier League,2018/2019,Midfielder,Fulham,361,Norway,5,0,1
Hector Bellerin,26,Premier League,2018/2019,Defender,Arsenal,1535,Spain,19,0,5
Hélder Wander Sousa Azevedo Costa,27,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1345,Portugal,25,1,2
Henrikh Mkhitaryan,32,Premier League,2018/2019,Midfielder,Arsenal,1643,Armenia,25,6,4
Heung-Min Son,28,Premier League,2018/2019,Forward,Tottenham Hotspur,2048,South Korea,31,12,6
Heurelho da Silva Gomes,40,Premier League,2018/2019,Goalkeeper,Watford,0,Brazil,0,0,0
Hugo Lloris,34,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,2970,France,33,0,0
Ibrahima Cissé,27,Premier League,2018/2019,Midfielder,Fulham,87,Belgium,3,0,0
Idrissa Gana Gueye,31,Premier League,2018/2019,Midfielder,Everton,2825,Senegal,33,0,2
İlkay Gündoğan,30,Premier League,2018/2019,Midfielder,Manchester City,2135,Germany,31,6,3
Isaac Ajayi Success,25,Premier League,2018/2019,Forward,Watford,1037,Nigeria,30,1,1
Isaac Hayden,26,Premier League,2018/2019,Midfielder,Newcastle United,1886,England,25,1,4
Isaac Mbenza,25,Premier League,2018/2019,Forward,Huddersfield Town,981,Belgium,22,1,1
Issa Diop,24,Premier League,2018/2019,Defender,West Ham United,2970,France,33,1,0
Ivan Ricardo Neves Abreu Cavaleiro,27,Premier League,2018/2019,Forward,Wolverhampton Wanderers,683,Portugal,23,3,1
Jack Cork,31,Premier League,2018/2019,Midfielder,Burnley,3313,England,37,1,2
Jack Simpson,24,Premier League,2018/2019,Defender,AFC Bournemouth,403,England,6,0,0
Jack Stephens,27,Premier League,2018/2019,Defender,Southampton,1697,England,24,1,0
Jack Wilshere,29,Premier League,2018/2019,Midfielder,West Ham United,389,England,8,0,1
Jacob Murphy,26,Premier League,2018/2019,Midfielder,Newcastle United,300,England,9,0,1
Jaïro Riedewald,24,Premier League,2018/2019,Defender,Crystal Palace,0,Netherlands,0,0,0
Jamal Lascelles,27,Premier League,2018/2019,Defender,Newcastle United,2748,England,32,0,1
James Garner,20,Premier League,2018/2019,Defender,Manchester United,0,England,1,0,0
James Maddison,24,Premier League,2018/2019,Midfielder,Leicester City,2850,England,36,7,7
James McArthur,33,Premier League,2018/2019,Midfielder,Crystal Palace,3071,Scotland,38,3,6
James McCarthy,30,Premier League,2018/2019,Midfielder,Everton,14,Republic of Ireland,1,0,0
James Milner,35,Premier League,2018/2019,Midfielder,Liverpool,1785,England,31,5,4
James Tarkowski,28,Premier League,2018/2019,Defender,Burnley,3087,England,35,3,1
James Tomkins,32,Premier League,2018/2019,Defender,Crystal Palace,2563,England,29,1,1
James Ward-Prowse,26,Premier League,2018/2019,Midfielder,Southampton,1942,England,26,7,0
Jamie Sterry,25,Premier League,2018/2019,Defender,Newcastle United,0,England,0,0,0
Jamie Vardy,34,Premier League,2018/2019,Forward,Leicester City,2735,England,34,18,4
Jan Bednarek,24,Premier League,2018/2019,Defender,Southampton,2151,Poland,25,0,1
Jan Vertonghen,33,Premier League,2018/2019,Defender,Tottenham Hotspur,1915,Belgium,22,1,0
Jannik Vestergaard,28,Premier League,2018/2019,Defender,Southampton,2030,Denmark,23,0,0
Jason Puncheon,34,Premier League,2018/2019,Midfielder,Huddersfield Town,391,England,11,0,0
Jason Steele,30,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,0,England,0,0,0
Javier Hernandez,32,Premier League,2018/2019,Forward,West Ham United,1335,Mexico,25,7,1
Javier Manquillo Gaitán,26,Premier League,2018/2019,Defender,Newcastle United,1097,Spain,18,0,3
Jayson Molumby,21,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,0,Republic of Ireland,0,0,0
Jazz Richards,29,Premier League,2018/2019,Defender,Cardiff City,128,Wales,4,0,0
Jean Michaël Seri,29,Premier League,2018/2019,Midfielder,Fulham,2252,Côte d'Ivoire,32,1,2
Jeff Hendrick,29,Premier League,2018/2019,Midfielder,Burnley,2069,Republic of Ireland,32,3,0
Jefferson Lerma,26,Premier League,2018/2019,Midfielder,AFC Bournemouth,2511,Colombia,30,2,0
Jeffrey Schlupp,28,Premier League,2018/2019,Defender,Crystal Palace,1665,Ghana,30,4,1
Jermain Defoe,38,Premier League,2018/2019,Forward,AFC Bournemouth,21,England,4,0,0
Jesse Lingard,28,Premier League,2018/2019,Midfielder,Manchester United,1668,England,27,4,2
João Moutinho,34,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3040,Portugal,38,1,8
Joe Bennett,31,Premier League,2018/2019,Defender,Cardiff City,2641,England,30,0,1
Joe Bryan,27,Premier League,2018/2019,Defender,Fulham,2350,England,28,0,1
Joe Daniel Tupper,23,Premier League,2018/2019,Goalkeeper,Crystal Palace,0,England,0,0,0
Joe Gomez,23,Premier League,2018/2019,Defender,Liverpool,1060,England,16,0,0
Joe Hart,33,Premier League,2018/2019,Goalkeeper,Burnley,1710,England,19,0,0
Joe Powell,22,Premier League,2018/2019,Forward,West Ham United,0,England,0,0,0
Joe Ralls,27,Premier League,2018/2019,Midfielder,Cardiff City,1959,England,28,0,0
Joel Coleman,25,Premier League,2018/2019,Goalkeeper,Huddersfield Town,90,England,1,0,0
Joel Matip,29,Premier League,2018/2019,Defender,Liverpool,1532,Cameroon,22,1,0
Joel Ward,31,Premier League,2018/2019,Defender,Crystal Palace,551,England,7,1,0
Johann Berg Guðmunds­son,30,Premier League,2018/2019,Midfielder,Burnley,1748,Iceland,29,3,6
John Ruddy,34,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,90,England,1,0,0
John Stones,26,Premier League,2018/2019,Defender,Manchester City,1762,England,24,0,0
Jon Gorenc Stankovič,25,Premier League,2018/2019,Defender,Huddersfield Town,718,Slovenia,11,1,0
Jonas Lössl,32,Premier League,2018/2019,Goalkeeper,Huddersfield Town,2777,Denmark,31,0,1
Jonathan Hogg,32,Premier League,2018/2019,Midfielder,Huddersfield Town,2377,England,29,0,1
Jonathan Walters,37,Premier League,2018/2019,Forward,Burnley,0,Republic of Ireland,0,0,0
Jonjo Shelvey,29,Premier League,2018/2019,Midfielder,Newcastle United,944,England,16,1,1
Jonjoe Kenny,24,Premier League,2018/2019,Defender,Everton,790,England,10,0,1
Jonny,27,Premier League,2018/2019,Defender,Wolverhampton Wanderers,2780,Spain,33,1,1
Jonny Evans,33,Premier League,2018/2019,Defender,Leicester City,1995,Northern Ireland,24,1,0
Jordan Ayew,29,Premier League,2018/2019,Forward,Crystal Palace,1186,Ghana,20,1,2
Jordan Henderson,30,Premier League,2018/2019,Midfielder,Liverpool,1983,England,32,1,3
Jordan Pickford,27,Premier League,2018/2019,Goalkeeper,Everton,3420,England,38,0,0
Jordon Ibe,25,Premier League,2018/2019,Midfielder,AFC Bournemouth,795,England,19,1,1
Jorginho,29,Premier League,2018/2019,Midfielder,Chelsea,3165,Italy,37,2,0
José Diogo Dalot Teixeira,22,Premier League,2018/2019,Defender,Manchester United,1015,Portugal,16,0,2
José Holebas,36,Premier League,2018/2019,Defender,Watford,2394,Greece,28,3,6
Jose Izquierdo,28,Premier League,2018/2019,Forward,Brighton & Hove Albion,794,Colombia,15,0,1
José Luis Sanmartín Mato,31,Premier League,2018/2019,Forward,Newcastle United,586,Spain,16,2,0
Joseph Willock,21,Premier League,2018/2019,Midfielder,Arsenal,64,England,2,0,0
Josh Benson,21,Premier League,2018/2019,Midfielder,Burnley,0,England,0,0,0
Josh Knight,23,Premier League,2018/2019,Defender,Leicester City,0,England,0,0,0
Josh Murphy,26,Premier League,2018/2019,Forward,Cardiff City,1825,England,29,3,2
Joshua King,29,Premier League,2018/2019,Forward,AFC Bournemouth,2974,Norway,35,12,3
Joshua Sims,24,Premier League,2018/2019,Midfielder,Southampton,209,England,7,0,1
Juan Marcos Foyth,23,Premier League,2018/2019,Defender,Tottenham Hotspur,930,Argentina,12,1,0
Juan Mata,32,Premier League,2018/2019,Midfielder,Manchester United,1294,Spain,22,3,2
Julián Speroni,41,Premier League,2018/2019,Goalkeeper,Crystal Palace,90,Argentina,1,0,0
Juninho Bacuna,23,Premier League,2018/2019,Midfielder,Huddersfield Town,1414,Netherlands,21,1,0
Junior Stanislas,31,Premier League,2018/2019,Midfielder,AFC Bournemouth,1027,England,23,2,3
Jürgen Locadia,27,Premier League,2018/2019,Forward,Brighton & Hove Albion,1227,Netherlands,26,2,0
Kadeem Harris,27,Premier League,2018/2019,Midfielder,Cardiff City,366,England,13,1,0
Karl Darlow,30,Premier League,2018/2019,Goalkeeper,Newcastle United,0,England,0,0,0
Karlan Ahearne-Grant,23,Premier League,2018/2019,Forward,Huddersfield Town,874,England,13,4,0
Kasper Schmeichel,34,Premier League,2018/2019,Goalkeeper,Leicester City,3420,Denmark,38,0,0
Kayne Ramsey,20,Premier League,2018/2019,Midfielder,Southampton,90,England,1,0,0
Kazaiah Sterling,22,Premier League,2018/2019,Forward,Tottenham Hotspur,0,England,0,0,0
Kelechi Iheanacho,24,Premier League,2018/2019,Forward,Leicester City,926,Nigeria,30,1,3
Kelland Watts,21,Premier League,2018/2019,Midfielder,Newcastle United,0,England,0,0,0
Ken Sema,27,Premier League,2018/2019,Midfielder,Watford,755,Sweden,17,1,2
Kenneth Dahrup Zohorè,27,Premier League,2018/2019,Forward,Cardiff City,746,Denmark,19,1,1
Kepa Arrizabalaga,26,Premier League,2018/2019,Goalkeeper,Chelsea,3240,Spain,36,0,0
Kevin De Bruyne,29,Premier League,2018/2019,Midfielder,Manchester City,974,Belgium,19,2,2
Kevin Long,30,Premier League,2018/2019,Defender,Burnley,513,Republic of Ireland,6,0,1
Kevin McDonald,32,Premier League,2018/2019,Midfielder,Fulham,842,Scotland,15,0,0
Kieran Dowell,23,Premier League,2018/2019,Midfielder,Everton,0,England,0,0,0
Kieran Trippier,30,Premier League,2018/2019,Defender,Tottenham Hotspur,2278,England,27,1,3
Konstantinos Mavropanos,23,Premier League,2018/2019,Defender,Arsenal,150,Greece,4,0,0
Kortney Hause,25,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,England,0,0,0
Kurt Zouma,26,Premier League,2018/2019,Defender,Everton,2610,France,32,2,2
Kyle Taylor,21,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,England,0,0,0
Kyle Walker,30,Premier League,2018/2019,Defender,Manchester City,2777,England,33,1,1
Kyle Walker-Peters,23,Premier League,2018/2019,Defender,Tottenham Hotspur,374,England,6,0,3
Laurent Depoitre,32,Premier League,2018/2019,Forward,Huddersfield Town,1059,Belgium,23,0,1
Laurent Koscielny,35,Premier League,2018/2019,Defender,Arsenal,1328,France,17,3,0
Lazar Marković,27,Premier League,2018/2019,Midfielder,Fulham,44,Serbia,1,0,0
Leander Dendoncker,25,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1469,Belgium,19,2,0
Leandro Bacuna,29,Premier League,2018/2019,Midfielder,Cardiff City,554,Curaçao,11,0,0
Lee Grant,38,Premier League,2018/2019,Goalkeeper,Manchester United,0,England,0,0,0
Lee Peltier,34,Premier League,2018/2019,Defender,Cardiff City,1542,England,20,0,0
Leighton Baines,36,Premier League,2018/2019,Defender,Everton,376,England,6,0,0
Leon Balogun,32,Premier League,2018/2019,Defender,Brighton & Hove Albion,591,Nigeria,8,1,0
Leonardo Bonatini Lohner Maia,27,Premier League,2018/2019,Forward,Wolverhampton Wanderers,128,Brazil,7,0,1
Leroy Sané,25,Premier League,2018/2019,Midfielder,Manchester City,1867,Germany,31,10,10
Lewis Cass,21,Premier League,2018/2019,Defender,Newcastle United,0,England,0,0,0
Lewis Cook,24,Premier League,2018/2019,Midfielder,AFC Bournemouth,721,England,13,0,0
Lewis Dunk,29,Premier League,2018/2019,Defender,Brighton & Hove Albion,3153,England,36,2,1
Loïc Damour,30,Premier League,2018/2019,Midfielder,Cardiff City,21,France,2,0,0
Loris Karius,27,Premier League,2018/2019,Goalkeeper,Liverpool,0,Germany,0,0,0
Luca de la Torre,22,Premier League,2018/2019,Midfielder,Fulham,0,USA,0,0,0
Lucas Digne,27,Premier League,2018/2019,Defender,Everton,2990,France,35,4,4
Lucas Perez,32,Premier League,2018/2019,Forward,West Ham United,468,Spain,15,3,0
Lucas Rodrigues Moura da Silva,28,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2127,Brazil,32,10,0
Lucas Torreira,25,Premier League,2018/2019,Midfielder,Arsenal,2377,Uruguay,34,2,2
Luciano Vietto,27,Premier League,2018/2019,Forward,Fulham,983,Argentina,20,1,4
Luka Milivojević,29,Premier League,2018/2019,Midfielder,Crystal Palace,3420,Serbia,38,12,2
Luke Amos,24,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2,England,1,0,0
Luke Dreher,22,Premier League,2018/2019,Midfielder,Crystal Palace,0,England,1,0,0
Luke Shaw,25,Premier League,2018/2019,Defender,Manchester United,2592,England,29,1,4
Lys Mousset,25,Premier League,2018/2019,Forward,AFC Bournemouth,345,France,24,1,0
Maarten Stekelenburg,38,Premier League,2018/2019,Goalkeeper,Everton,0,Netherlands,0,0,0
Mamadou Sakho,31,Premier League,2018/2019,Defender,Crystal Palace,2417,France,27,0,0
Manolo Gabbiadini,29,Premier League,2018/2019,Forward,Southampton,470,Italy,12,1,0
Manuel Lanzini,28,Premier League,2018/2019,Midfielder,West Ham United,688,Argentina,10,1,1
Marc Albrighton,31,Premier League,2018/2019,Midfielder,Leicester City,1626,England,27,2,2
Marc Guehi,20,Premier League,2018/2019,Defender,Chelsea,0,England,0,0,0
Marc Navarro Ceciliano,25,Premier League,2018/2019,Defender,Watford,84,Spain,2,0,0
Marc Pugh,34,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,England,0,0,0
Marcos Alonso,30,Premier League,2018/2019,Defender,Chelsea,2761,Spain,31,2,4
Marcus Bettinelli,28,Premier League,2018/2019,Goalkeeper,Fulham,630,England,7,0,0
Marcus Rashford,23,Premier League,2018/2019,Forward,Manchester United,2362,England,33,10,6
Mario Lemina,27,Premier League,2018/2019,Midfielder,Southampton,1615,Gabon,21,1,1
Mark Noble,33,Premier League,2018/2019,Midfielder,West Ham United,2308,England,31,5,5
Mark Travers,21,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,180,Republic of Ireland,2,0,0
Marko Arnautović,31,Premier League,2018/2019,Forward,West Ham United,2000,Austria,28,10,4
Markus Suttner,33,Premier League,2018/2019,Defender,Brighton & Hove Albion,0,Austria,0,0,0
Marouane Fellaini,33,Premier League,2018/2019,Midfielder,Manchester United,744,Belgium,14,0,1
Martin Dúbravka,32,Premier League,2018/2019,Goalkeeper,Newcastle United,3420,Slovakia,38,0,0
Martin Kelly,30,Premier League,2018/2019,Defender,Crystal Palace,1110,England,13,0,0
Martín Montoya,29,Premier League,2018/2019,Defender,Brighton & Hove Albion,2166,Spain,25,0,1
Mason Greenwood,19,Premier League,2018/2019,Midfielder,Manchester United,115,England,3,0,0
Mason Holgate,24,Premier League,2018/2019,Defender,Everton,407,England,5,0,0
Matěj Vydra,28,Premier League,2018/2019,Forward,Burnley,311,Czech Republic,13,1,1
Mateo Kovačić,26,Premier League,2018/2019,Midfielder,Chelsea,1743,Croatia,32,0,2
